"","club","round","fixture"
"290","HUD","15",141
"291","LEI","15",144
"292","LIV","15",143
"293","MCI","15",146
"294","MUN","15",145
"295","NEW","15",149
"296","SOU","15",150
"297","TOT","15",150
"298","WAT","15",146
"299","WHU","15",147
"300","WOL","15",148
"301","ARS","16",151
"302","BHA","16",153
"303","BOU","16",152
"304","BUR","16",153
"305","CAR","16",154
"306","CHE","16",155
"307","CRY","16",160
"308","EVE","16",156
"309","FUL","16",158
"310","HUD","16",151
"311","LEI","16",157
"312","LIV","16",152
"313","MCI","16",155
"314","MUN","16",158
"315","NEW","16",159
"316","SOU","16",154
"317","TOT","16",157
"318","WAT","16",156
"319","WHU","16",160
"320","WOL","16",159
"321","ARS","17",167
"322","BHA","17",161
"323","BOU","17",170
"324","BUR","17",168
"325","CAR","17",169
"326","CHE","17",161
"327","CRY","17",162
"328","EVE","17",166
"329","FUL","17",163
"330","HUD","17",164
"331","LEI","17",162
"332","LIV","17",165
"333","MCI","17",166
"334","MUN","17",165
"335","NEW","17",164
"336","SOU","17",167
"337","TOT","17",168
"338","WAT","17",169
"339","WHU","17",163
"340","WOL","17",170
"341","ARS","18",171
"342","BHA","18",172
"343","BOU","18",172
"344","BUR","18",171
"345","CAR","18",173
"346","CHE","18",174
"347","CRY","18",177
"348","EVE","18",175
"349","FUL","18",178
"350","HUD","18",176
"351","LEI","18",174
"352","LIV","18",180
"353","MCI","18",177
"354","MUN","18",173
"355","NEW","18",178
"356","SOU","18",176
"357","TOT","18",175
"358","WAT","18",179
"359","WHU","18",179
"360","WOL","18",180
"361","ARS","19",181
"362","BHA","19",181
"363","BOU","19",189
"364","BUR","19",182
"365","CAR","19",183
"366","CHE","19",190
"367","CRY","19",183
"368","EVE","19",182
"369","FUL","19",184
"370","HUD","19",187
"371","LEI","19",185
"372","LIV","19",186
"373","MCI","19",185
"374","MUN","19",187
"375","NEW","19",186
"376","SOU","19",188
"377","TOT","19",189
"378","WAT","19",190
"379","WHU","19",188
"380","WOL","19",184
"381","ARS","20",196
"382","BHA","20",191
"383","BOU","20",197
"384","BUR","20",192
"385","CAR","20",195
"386","CHE","20",193
"387","CRY","20",193
"388","EVE","20",191
"389","FUL","20",194
"390","HUD","20",194
"391","LEI","20",195
"392","LIV","20",196
"393","MCI","20",198
"394","MUN","20",197
"395","NEW","20",200
"396","SOU","20",198
"397","TOT","20",199
"398","WAT","20",200
"399","WHU","20",192
"400","WOL","20",199
"401","ARS","21",201
"402","BHA","21",209
"403","BOU","21",202
"404","BUR","21",206
"405","CAR","21",203
"406","CHE","21",204
"407","CRY","21",210
"408","EVE","21",205
"409","FUL","21",201
"410","HUD","21",206
"411","LEI","21",205
"412","LIV","21",207
"413","MCI","21",207
"414","MUN","21",208
"415","NEW","21",208
"416","SOU","21",204
"417","TOT","21",203
"418","WAT","21",202
"419","WHU","21",209
"420","WOL","21",210
"421","ARS","22",220
"422","BHA","22",211
"423","BOU","22",216
"424","BUR","22",212
"425","CAR","22",213
"426","CHE","22",214
"427","CRY","22",215
"428","EVE","22",216
"429","FUL","22",212
"430","HUD","22",213
"431","LEI","22",217
"432","LIV","22",211
"433","MCI","22",218
"434","MUN","22",219
"435","NEW","22",214
"436","SOU","22",217
"437","TOT","22",219
"438","WAT","22",215
"439","WHU","22",220
"440","WOL","22",218
"441","ARS","23",221
"442","BHA","23",226
"443","BOU","23",222
"444","BUR","23",229
"445","CAR","23",227
"446","CHE","23",221
"447","CRY","23",225
"448","EVE","23",227.833333333333
"449","FUL","23",223
"450","HUD","23",224
"451","LEI","23",230
"452","LIV","23",225
"453","MCI","23",224
"454","MUN","23",226
"455","NEW","23",227
"456","SOU","23",228
"457","TOT","23",223
"458","WAT","23",229
"459","WHU","23",222
"460","WOL","23",230
"461","ARS","24",231
"462","BHA","24",233
"463","BOU","24",232
"464","BUR","24",235
"465","CAR","24",231
"466","CHE","24",232
"467","CRY","24",239
"468","EVE","24",233.5
"469","FUL","24",233
"470","HUD","24",234
"471","LEI","24",237
"472","LIV","24",237
"473","MCI","24",238
"474","MUN","24",235
"475","NEW","24",238
"476","SOU","24",239
"477","TOT","24",240
"478","WAT","24",240
"479","WHU","24",236
"480","WOL","24",236
"481","ARS","25",248
"482","BHA","25",241
"483","BOU","25",243
"484","BUR","25",242
"485","CAR","25",243
"486","CHE","25",244
"487","CRY","25",245
"488","EVE","25",254.818181818182
"489","FUL","25",245
"490","HUD","25",244
"491","LEI","25",247
"492","LIV","25",250
"493","MCI","25",257
"494","MUN","25",247
"495","NEW","25",249
"496","SOU","25",242
"497","TOT","25",249
"498","WAT","25",241
"499","WHU","25",250
"500","WOL","25",246
"501","ARS","26",254
"502","BHA","26",251
"503","BOU","26",255
"504","BUR","26",251
"505","CAR","26",257
"506","CHE","26",256
"507","CRY","26",252
"508","EVE","26",258.666666666667
"509","FUL","26",253
"510","HUD","26",254
"511","LEI","26",258
"512","LIV","26",255
"513","MCI","26",256
"514","MUN","26",253
"515","NEW","26",260
"516","SOU","26",257
"517","TOT","26",258
"518","WAT","26",259
"519","WHU","26",252
"520","WOL","26",260
"521","ARS","27",261
"522","BOU","27",262
"523","BUR","27",263
"524","CAR","27",264
"525","CRY","27",267
"526","EVE","27",264
"527","FUL","27",270
"528","HUD","27",269
"529","LEI","27",267
"530","LIV","27",268
"531","MUN","27",268
"532","NEW","27",269
"533","SOU","27",261
"534","TOT","27",263
"535","WAT","27",264
"536","WHU","27",270
"537","WOL","27",262
"538","ARS","28",271
"539","BHA","28",275
"540","BOU","28",271
"541","BUR","28",279
"542","CAR","28",272
"543","CHE","28",276
"544","CRY","28",273
"545","EVE","28",272
"546","FUL","28",280
"547","HUD","28",274
"548","LEI","28",275
"549","LIV","28",277
"550","MCI","28",278
"551","MUN","28",273
"552","NEW","28",279
"553","SOU","28",280
"554","TOT","28",276
"555","WAT","28",277
"556","WHU","28",278
"557","WOL","28",274
"558","ARS","29",287
"559","BHA","29",282
"560","BOU","29",281
"561","BUR","29",283
"562","CAR","29",290
"563","CHE","29",285
"564","CRY","29",283
"565","EVE","29",285
"566","FUL","29",285
"567","HUD","29",282
"568","LEI","29",288
"569","LIV","29",284
"570","MCI","29",281
"571","MUN","29",286
"572","NEW","29",289
"573","SOU","29",286
"574","TOT","29",287
"575","WAT","29",288
"576","WHU","29",289
"577","WOL","29",290
"578","ARS","30",291
"579","BHA","30",294
"580","BOU","30",295
"581","BUR","30",297
"582","CAR","30",292
"583","CHE","30",293
"584","CRY","30",294
"585","EVE","30",297.833333333333
"586","FUL","30",296
"587","HUD","30",295
"588","LEI","30",296
"589","LIV","30",297
"590","MCI","30",298
"591","MUN","30",291
"592","NEW","30",299
"593","SOU","30",300
"594","TOT","30",300
"595","WAT","30",298
"596","WHU","30",292
"597","WOL","30",293
"598","BOU","31",301
"599","BUR","31",303
"600","CHE","31",304
"601","EVE","31",304
"602","FUL","31",305
"603","HUD","31",309
"604","LEI","31",303
"605","LIV","31",305
"606","NEW","31",301
"607","WHU","31",309
"608","ARS","32",311
"609","BHA","32",288.5
"610","BOU","32",317
"611","BUR","32",313
"612","CAR","32",319.5
"613","CHE","32",289.5
"614","CRY","32",311
"615","EVE","32",319.857142857143
"616","FUL","32",322.5
"617","HUD","32",315
"618","LEI","32",317
"619","LIV","32",318
"620","MCI","32",320.5
"621","MUN","32",324.5
"622","NEW","32",311
"623","SOU","32",312
"624","TOT","32",312.5
"625","WAT","32",324
"626","WHU","32",320
"627","WOL","32",321.5
"628","ARS","33",323
"629","BOU","33",321
"630","BUR","33",321
"631","CHE","33",322
"632","CRY","33",326
"633","EVE","33",323
"634","HUD","33",324
"635","LEI","33",324
"636","LIV","33",327
"637","NEW","33",326
"638","SOU","33",327
"639","WHU","33",322
"640","ARS","34",340
"641","BHA","34",316.5
"642","BOU","34",331
"643","BUR","34",332
"644","CAR","34",317
"645","CHE","34",336
"646","CRY","34",333
"647","EVE","34",329.142857142857
"648","FUL","34",334
"649","HUD","34",339
"650","LEI","34",335
"651","LIV","34",336
"652","MCI","34",333
"653","MUN","34",337
"654","NEW","34",335
"655","SOU","34",338
"656","TOT","34",339
"657","WAT","34",340
"658","WHU","34",337
"659","WOL","34",338
"660","ARS","35",325.5
"661","BHA","35",339
"662","BOU","35",342
"663","BUR","35",344
"664","CAR","35",343
"665","CHE","35",344
"666","CRY","35",341
"667","EVE","35",344.666666666667
"668","FUL","35",342
"669","HUD","35",346
"670","LEI","35",349
"671","LIV","35",343
"672","MCI","35",326.5
"673","MUN","35",325.5
"674","NEW","35",348
"675","SOU","35",328
"676","TOT","35",337.5
"677","WAT","35",327
"678","WHU","35",349
"679","WOL","35",330
"680","ARS","36",355
"681","BHA","36",351
"682","BOU","36",358
"683","BUR","36",352
"684","CAR","36",354
"685","CHE","36",357
"686","CRY","36",353
"687","EVE","36",353.166666666667
"688","FUL","36",354
"689","HUD","36",356
"690","LEI","36",355
"691","LIV","36",356
"692","MCI","36",352
"693","MUN","36",357
"694","NEW","36",351
"695","SOU","36",358
"696","TOT","36",359
"697","WAT","36",360
"698","WHU","36",359
"699","WOL","36",360
"700","ARS","37",361
"701","BHA","37",361
"702","BOU","37",362
"703","BUR","37",365
"704","CAR","37",363
"705","CHE","37",364
"706","CRY","37",363
"707","EVE","37",364.666666666667
"708","FUL","37",370
"709","HUD","37",366
"710","LEI","37",367
"711","LIV","37",368
"712","MCI","37",367
"713","MUN","37",366
"714","NEW","37",368
"715","SOU","37",369
"716","TOT","37",362
"717","WAT","37",364
"718","WHU","37",369
"719","WOL","37",370
"720","ARS","38",372
"721","BHA","38",371
"722","BOU","38",373
"723","BUR","38",372
"724","CAR","38",377
"725","CHE","38",375
"726","CRY","38",373
"727","EVE","38",378.666666666667
"728","FUL","38",374
"729","HUD","38",378
"730","LEI","38",375
"731","LIV","38",376
"732","MCI","38",371
"733","MUN","38",377
"734","NEW","38",374
"735","SOU","38",378
"736","TOT","38",379
"737","WAT","38",380
"738","WHU","38",380
"739","WOL","38",376
