round,club,opponent,fixture
5,CRY,HUD,44
6,CRY,NEW,55
7,CRY,BOU,62
8,CRY,WOL,73
9,CRY,EVE,85
10,CRY,ARS,93
11,CRY,CHE,104
12,CRY,TOT,114
13,CRY,MUN,126
14,CRY,BUR,134
15,CRY,BHA,142
16,CRY,WHU,160
17,CRY,LEI,162
18,CRY,MCI,177
19,CRY,CAR,183
20,CRY,CHE,193
21,CRY,WOL,210
22,CRY,WAT,215
23,CRY,LIV,225
24,CRY,SOU,239
25,CRY,FUL,245
26,CRY,WHU,252
27,CRY,LEI,267
28,CRY,MUN,273
29,CRY,BUR,283
30,CRY,BHA,294
32,CRY,HUD,315
32,CRY,TOT,307
33,CRY,NEW,326
34,CRY,MCI,333
35,CRY,ARS,341
36,CRY,EVE,353
37,CRY,CAR,363
38,CRY,BOU,373
1,EVE,WOL,10
2,EVE,SOU,16
3,EVE,BOU,22
4,EVE,HUD,36
5,EVE,WHU,43
6,EVE,ARS,51
7,EVE,FUL,65
8,EVE,LEI,75
9,EVE,CRY,85
10,EVE,MUN,97
11,EVE,BHA,105
12,EVE,CHE,113
13,EVE,CAR,124
14,EVE,LIV,137
15,EVE,NEW,149
16,EVE,WAT,156
17,EVE,MCI,166
18,EVE,TOT,175
19,EVE,BUR,182
20,EVE,BHA,191
21,EVE,LEI,205
22,EVE,BOU,216
23,EVE,SOU,228
24,EVE,HUD,234
25,EVE,WOL,246
25,EVE,MCI,266
26,EVE,WAT,259
28,EVE,CAR,272
29,EVE,LIV,284
30,EVE,NEW,299
31,EVE,CHE,304
32,EVE,WHU,320
33,EVE,ARS,323
34,EVE,FUL,334
35,EVE,MUN,345
36,EVE,CRY,353
37,EVE,BUR,365
38,EVE,TOT,379
1,FUL,CRY,3
2,FUL,TOT,19
3,FUL,BUR,23
4,FUL,BHA,31
5,FUL,MCI,45
6,FUL,WAT,56
7,FUL,EVE,65
8,FUL,ARS,74
9,FUL,CAR,83
10,FUL,BOU,94
11,FUL,HUD,106
12,FUL,LIV,117
13,FUL,SOU,125
14,FUL,CHE,133
15,FUL,LEI,144
16,FUL,MUN,158
17,FUL,WHU,163
18,FUL,NEW,178
19,FUL,WOL,184
20,FUL,HUD,194
21,FUL,ARS,201
22,FUL,BUR,212
23,FUL,TOT,223
24,FUL,BHA,233
25,FUL,CRY,245
26,FUL,MUN,253
27,FUL,WHU,270
28,FUL,SOU,280
29,FUL,CHE,285
30,FUL,LEI,296
31,FUL,LIV,305
32,FUL,MCI,316
32,FUL,WAT,329
34,FUL,EVE,334
35,FUL,BOU,342
36,FUL,CAR,354
37,FUL,WOL,370
38,FUL,NEW,374
1,HUD,CHE,4
2,HUD,MCI,18
3,HUD,CAR,24
4,HUD,EVE,36
5,HUD,CRY,44
6,HUD,LEI,57
7,HUD,TOT,66
8,HUD,BUR,72
9,HUD,LIV,86
10,HUD,WAT,100
11,HUD,FUL,106
12,HUD,WHU,115
13,HUD,WOL,130
14,HUD,BHA,135
15,HUD,BOU,141
16,HUD,ARS,151
17,HUD,NEW,164
18,HUD,SOU,176
19,HUD,MUN,187
20,HUD,FUL,194
21,HUD,BUR,206
22,HUD,CAR,213
23,HUD,MCI,224
24,HUD,EVE,234
25,HUD,CHE,244
26,HUD,ARS,254
27,HUD,NEW,269
28,HUD,WOL,274
29,HUD,BHA,282
30,HUD,BOU,295
31,HUD,WHU,309
32,HUD,CRY,315
33,HUD,LEI,324
34,HUD,TOT,339
35,HUD,WAT,346
36,HUD,LIV,356
37,HUD,MUN,366
38,HUD,SOU,378
1,LEI,MUN,6
2,LEI,WOL,17
3,LEI,SOU,28
4,LEI,LIV,37
5,LEI,BOU,41
6,LEI,HUD,57
7,LEI,NEW,68
8,LEI,EVE,75
9,LEI,ARS,81
10,LEI,WHU,95
11,LEI,CAR,103
12,LEI,BUR,116
13,LEI,BHA,122
14,LEI,WAT,136
15,LEI,FUL,144
16,LEI,TOT,157
17,LEI,CRY,162
18,LEI,CHE,174
19,LEI,MCI,185
20,LEI,CAR,195
21,LEI,EVE,205
22,LEI,SOU,217
23,LEI,WOL,230
24,LEI,LIV,237
25,LEI,MUN,247
26,LEI,TOT,258
27,LEI,CRY,267
28,LEI,BHA,275
29,LEI,WAT,288
30,LEI,FUL,296
31,LEI,BUR,303
32,LEI,BOU,317
33,LEI,HUD,324
34,LEI,NEW,335
35,LEI,WHU,349
36,LEI,ARS,355
37,LEI,MCI,367
38,LEI,CHE,375
1,LIV,WHU,5
2,LIV,CRY,15
3,LIV,BHA,25
4,LIV,LEI,37
