club,opponent,round,was_home,date
LIV,CHE,37,TRUE,9-5-2020 14:00
MCI,WAT,37,FALSE,9-5-2020 14:00
MUN,WHU,37,TRUE,9-5-2020 14:00
NEW,BHA,37,FALSE,9-5-2020 14:00
NOR,BUR,37,TRUE,9-5-2020 14:00
SHU,EVE,37,TRUE,9-5-2020 14:00
SOU,BOU,37,FALSE,9-5-2020 14:00
TOT,LEI,37,TRUE,9-5-2020 14:00
WAT,MCI,37,TRUE,9-5-2020 14:00
WHU,MUN,37,FALSE,9-5-2020 14:00
WOL,CRY,37,TRUE,9-5-2020 14:00
ARS,WAT,38,TRUE,17-5-2020 14:00
AVL,WHU,38,FALSE,17-5-2020 14:00
BOU,EVE,38,FALSE,17-5-2020 14:00
BHA,BUR,38,FALSE,17-5-2020 14:00
BUR,BHA,38,TRUE,17-5-2020 14:00
CHE,WOL,38,TRUE,17-5-2020 14:00
CRY,TOT,38,TRUE,17-5-2020 14:00
EVE,BOU,38,TRUE,17-5-2020 14:00
LEI,MUN,38,TRUE,17-5-2020 14:00
LIV,NEW,38,FALSE,17-5-2020 14:00
MCI,NOR,38,TRUE,17-5-2020 14:00
MUN,LEI,38,FALSE,17-5-2020 14:00
NEW,LIV,38,TRUE,17-5-2020 14:00
NOR,MCI,38,FALSE,17-5-2020 14:00
SHU,SOU,38,FALSE,17-5-2020 14:00
SOU,SHU,38,TRUE,17-5-2020 14:00
TOT,CRY,38,FALSE,17-5-2020 14:00
WAT,ARS,38,FALSE,17-5-2020 14:00
WHU,AVL,38,TRUE,17-5-2020 14:00
WOL,CHE,38,FALSE,17-5-2020 14:00
