club,opponent,round,was_home,date
NEW,BOU,12,,
NOR,WAT,12,,
SHU,TOT,12,,
SOU,EVE,12,,
TOT,SHU,12,,
WAT,NOR,12,,
WHU,BUR,12,,
WOL,AVL,12,,
ARS,SOU,13,,
AVL,NEW,13,,
BOU,WOL,13,,
BHA,LEI,13,,
BUR,WAT,13,,
CHE,MCI,13,,
CRY,LIV,13,,
EVE,NOR,13,,
LEI,BHA,13,,
LIV,CRY,13,,
MCI,CHE,13,,
MUN,SHU,13,,
NEW,AVL,13,,
NOR,EVE,13,,
SHU,MUN,13,,
SOU,ARS,13,,
TOT,WHU,13,,
WAT,BUR,13,,
WHU,TOT,13,,
WOL,BOU,13,,
ARS,NOR,14,,
AVL,MUN,14,,
BOU,TOT,14,,
BHA,LIV,14,,
BUR,CRY,14,,
CHE,WHU,14,,
CRY,BUR,14,,
EVE,LEI,14,,
LEI,EVE,14,,
LIV,BHA,14,,
MCI,NEW,14,,
MUN,AVL,14,,
NEW,MCI,14,,
NOR,ARS,14,,
SHU,WOL,14,,
SOU,WAT,14,,
TOT,BOU,14,,
WAT,SOU,14,,
WHU,CHE,14,,
WOL,SHU,14,,
ARS,BHA,15,,
AVL,CHE,15,,
BOU,CRY,15,,
BHA,ARS,15,,
BUR,MCI,15,,
CHE,AVL,15,,
CRY,BOU,15,,
EVE,LIV,15,,
LEI,WAT,15,,
LIV,EVE,15,,
MCI,BUR,15,,
MUN,TOT,15,,
NEW,SHU,15,,
NOR,SOU,15,,
SHU,NEW,15,,
SOU,NOR,15,,
TOT,MUN,15,,
WAT,LEI,15,,
WHU,WOL,15,,
WOL,WHU,15,,
ARS,WHU,16,,
AVL,LEI,16,,
BOU,LIV,16,,
BHA,WOL,16,,
BUR,TOT,16,,
CHE,EVE,16,,
CRY,WAT,16,,
EVE,CHE,16,,
LEI,AVL,16,,
LIV,BOU,16,,
MCI,MUN,16,,
MUN,MCI,16,,
NEW,SOU,16,,
NOR,SHU,16,,
SHU,NOR,16,,
SOU,NEW,16,,
TOT,BUR,16,,
WAT,CRY,16,,
WHU,ARS,16,,
WOL,BHA,16,,
ARS,MCI,17,,
AVL,SHU,17,,
BOU,CHE,17,,
BHA,CRY,17,,
BUR,NEW,17,,
CHE,BOU,17,,
CRY,BHA,17,,
EVE,MUN,17,,
LEI,NOR,17,,
LIV,WAT,17,,
MCI,ARS,17,,
MUN,EVE,17,,
NEW,BUR,17,,
NOR,LEI,17,,
SHU,AVL,17,,
SOU,WHU,17,,
TOT,WOL,17,,
WAT,LIV,17,,
WHU,SOU,17,,
WOL,TOT,17,,
ARS,EVE,18,,
AVL,SOU,18,,
BOU,BUR,18,,
BHA,SHU,18,,
BUR,BOU,18,,
CHE,TOT,18,,
CRY,NEW,18,,
EVE,ARS,18,,
LEI,MCI,18,,
MCI,LEI,18,,
MUN,WAT,18,,
NEW,CRY,18,,
NOR,WOL,18,,
SHU,BHA,18,,
SOU,AVL,18,,
TOT,CHE,18,,
WAT,MUN,18,,
WOL,NOR,18,,
ARS,BOU,19,FALSE,26-12-2019 15:00
AVL,NOR,19,TRUE,26-12-2019 15:00
BOU,ARS,19,TRUE,26-12-2019 15:00
BHA,TOT,19,FALSE,26-12-2019 12:30
BUR,EVE,19,FALSE,26-12-2019 15:00
CHE,SOU,19,TRUE,26-12-2019 15:00
CRY,WHU,19,TRUE,26-12-2019 15:00
EVE,BUR,19,TRUE,26-12-2019 15:00
LEI,LIV,19,TRUE,26-12-2019 20:00
LIV,LEI,19,FALSE,26-12-2019 20:00
MCI,WOL,19,FALSE,27-12-2019 19:45
MUN,NEW,19,TRUE,26-12-2019 17:30
NEW,MUN,19,FALSE,26-12-2019 17:30
NOR,AVL,19,FALSE,26-12-2019 15:00
SHU,WAT,19,TRUE,26-12-2019 15:00
SOU,CHE,19,FALSE,26-12-2019 15:00
TOT,BHA,19,TRUE,26-12-2019 12:30
WAT,SHU,19,FALSE,26-12-2019 15:00
WHU,CRY,19,FALSE,26-12-2019 15:00
WOL,MCI,19,TRUE,27-12-2019 19:45
ARS,CHE,20,TRUE,29-12-2019 14:00
AVL,WAT,20,FALSE,28-12-2019 15:00
BOU,BHA,20,FALSE,28-12-2019 12:30
BHA,BOU,20,TRUE,28-12-2019 12:30
BUR,MUN,20,TRUE,28-12-2019 19:45
CHE,ARS,20,FALSE,29-12-2019 14:00
CRY,SOU,20,FALSE,28-12-2019 15:00
EVE,NEW,20,FALSE,28-12-2019 15:00
LEI,WHU,20,FALSE,28-12-2019 17:30
LIV,WOL,20,TRUE,29-12-2019 16:30
MCI,SHU,20,TRUE,29-12-2019 18:00
MUN,BUR,20,FALSE,28-12-2019 19:45
NEW,EVE,20,TRUE,28-12-2019 15:00
NOR,TOT,20,TRUE,28-12-2019 17:30
SHU,MCI,20,FALSE,29-12-2019 18:00
SOU,CRY,20,TRUE,28-12-2019 15:00
TOT,NOR,20,FALSE,28-12-2019 17:30
WAT,AVL,20,TRUE,28-12-2019 15:00
WHU,LEI,20,TRUE,28-12-2019 17:30
WOL,LIV,20,FALSE,29-12-2019 16:30
ARS,MUN,21,TRUE,1-1-2020 20:00
AVL,BUR,21,FALSE,1-1-2020 12:30
BOU,WHU,21,FALSE,1-1-2020 15:00
BHA,CHE,21,TRUE,1-1-2020 12:30
BUR,AVL,21,TRUE,1-1-2020 12:30
CHE,BHA,21,FALSE,1-1-2020 12:30
CRY,NOR,21,FALSE,1-1-2020 15:00
EVE,MCI,21,FALSE,1-1-2020 15:00
LEI,NEW,21,FALSE,1-1-2020 15:00
LIV,SHU,21,TRUE,2-1-2020 18:00
MCI,EVE,21,TRUE,1-1-2020 17:30
MUN,ARS,21,FALSE,1-1-2020 20:00
NEW,LEI,21,TRUE,1-1-2020 15:00
NOR,CRY,21,TRUE,1-1-2020 15:00
SHU,LIV,21,FALSE,2-1-2020 18:00
SOU,TOT,21,TRUE,1-1-2020 15:00
TOT,SOU,21,FALSE,1-1-2020 15:00
WAT,WOL,21,TRUE,1-1-2020 15:00
WHU,BOU,21,TRUE,1-1-2020 15:00
WOL,WAT,21,FALSE,1-1-2020 15:00
ARS,CRY,22,FALSE,11-1-2020 12:30
AVL,MCI,22,TRUE,12-1-2020 16:30
BOU,WAT,22,TRUE,12-1-2020 14:00
BHA,EVE,22,FALSE,11-1-2020 15:00
BUR,CHE,22,FALSE,11-1-2020 15:00
CHE,BUR,22,TRUE,11-1-2020 15:00
CRY,ARS,22,TRUE,11-1-2020 12:30
EVE,BHA,22,TRUE,11-1-2020 15:00
LEI,SOU,22,TRUE,11-1-2020 15:00
LIV,TOT,22,FALSE,11-1-2020 17:30
MCI,AVL,22,FALSE,12-1-2020 16:30
MUN,NOR,22,TRUE,11-1-2020 15:00
NEW,WOL,22,FALSE,11-1-2020 15:00
NOR,MUN,22,FALSE,11-1-2020 15:00
SHU,WHU,22,TRUE,10-1-2020 20:00
SOU,LEI,22,FALSE,11-1-2020 15:00
TOT,LIV,22,TRUE,11-1-2020 17:30
WAT,BOU,22,FALSE,12-1-2020 14:00
